sport_id,label,direct_med_dist,via_stop_dist,nearest_stop_dist
2366427837.0,red,,,
2372609662.0,red,,,
2372609666.0,red,,,
2372609667.0,red,,,
2372609668.0,red,,,
2372609669.0,red,,,
2372609671.0,green,171.47284599060222,,
2372609674.0,red,,,
2372609677.0,red,,,
2372609681.0,red,,,
2372609686.0,red,,,
2372609691.0,red,,,
2372721409.0,red,,,
2372721410.0,red,,,
2372721411.0,red,,,
2372721412.0,red,,,
2372721414.0,red,,,
2372721415.0,red,,,
2372721416.0,red,,,
2372721417.0,red,,,
2372721418.0,red,,,
2372721419.0,red,,,
2372721421.0,red,,,
2372721423.0,red,,,
2372721424.0,red,,,
2372721426.0,red,,,
2372721427.0,red,,,
2372721428.0,red,,,
2372721430.0,red,,,
2372721431.0,red,,,
2372721432.0,red,,,
2372721433.0,red,,,
2372721434.0,red,,,
2372721435.0,red,,,
2372721436.0,red,,,
2372721437.0,red,,,
2372721438.0,red,,,
2372721439.0,red,,,
2372721440.0,red,,,
2372721441.0,red,,,
2372721442.0,red,,,
2372721443.0,red,,,
2372721445.0,red,,,
2372721446.0,red,,,
2372721447.0,red,,,
2372721451.0,red,,,
2372721453.0,red,,,
2372721454.0,red,,,
2372721455.0,red,,,
2372721456.0,red,,,
2372721457.0,red,,,
2372721459.0,red,,,
2372721460.0,red,,,
2372721462.0,red,,,
2372721464.0,red,,,
2372721466.0,red,,,
2372721468.0,red,,,
2372721471.0,red,,,
2372721472.0,red,,,
2372721473.0,red,,,
2372721474.0,red,,,
2372721475.0,red,,,
2372721476.0,red,,,
2372721477.0,red,,,
2372721479.0,red,,,
2372721480.0,red,,,
2372721482.0,red,,,
2372721483.0,red,,,
2372721484.0,red,,,
2372721485.0,red,,,
2372721488.0,red,,,
2372721489.0,red,,,
2372721490.0,red,,,
2372721491.0,red,,,
2372721492.0,red,,,
2372721493.0,red,,,
2373050988.0,red,,,
2373050989.0,red,,,
2449545675.0,red,,,
2449545676.0,red,,,
2449545684.0,red,,,
2449545685.0,red,,,
2591552670.0,red,,,
2591552671.0,red,,,
2591552672.0,red,,,
2591552674.0,red,,,
2591552675.0,red,,,
2591552676.0,red,,,
2591552679.0,red,,,
2591552680.0,red,,,
2591552681.0,red,,,
2591552682.0,red,,,
2591552684.0,red,,,
2591552689.0,red,,,
2591552690.0,red,,,
2591552694.0,red,,,
2591552696.0,red,,,
2591552697.0,red,,,
2591552699.0,red,,,
2591552700.0,red,,,
2591552701.0,red,,,
2591552704.0,red,,,
2591552705.0,red,,,
2591552706.0,red,,,
2591552707.0,red,,,
2591552709.0,red,,,
2591552710.0,red,,,
2591552715.0,red,,,
2591552717.0,red,,,
2591552718.0,red,,,
2591552719.0,red,,,
2591552720.0,red,,,
2591552721.0,red,,,
2591552725.0,red,,,
2591552727.0,red,,,
2591552728.0,red,,,
2591552732.0,red,,,
2591552733.0,red,,,
2591552734.0,red,,,
2591552735.0,red,,,
2591552736.0,red,,,
2591552737.0,red,,,
2591552738.0,red,,,
2591552739.0,red,,,
2591552740.0,red,,,
2591552741.0,red,,,
2591552742.0,red,,,
2591552743.0,red,,,
2591552745.0,red,,,
2591552747.0,red,,,
2591552748.0,red,,,
2591552749.0,red,,,
2591552750.0,red,,,
2591552751.0,red,,,
2591552752.0,red,,,
2591552753.0,red,,,
2591552755.0,red,,,
2591552756.0,red,,,
2591552757.0,red,,,
2591552759.0,red,,,
2591552760.0,red,,,
2591552761.0,red,,,
2591552767.0,red,,,
2591552768.0,red,,,
2591552769.0,red,,,
2591552772.0,red,,,
2591552773.0,red,,,
2591552774.0,red,,,
2591552777.0,red,,,
2591552780.0,red,,,
2591552782.0,red,,,
2591552783.0,red,,,
2591552785.0,red,,,
2591552786.0,red,,,
2591552788.0,red,,,
2591552790.0,red,,,
2591552792.0,red,,,
2591552793.0,red,,,
2591552794.0,red,,,
2591552796.0,red,,,
2591552797.0,red,,,
2591552798.0,red,,,
2591552800.0,red,,,
2591552801.0,red,,,
2591552803.0,red,,,
2591552804.0,red,,,
2591552806.0,red,,,
2591552807.0,red,,,
2591552808.0,red,,1770.1702251170764,152.63697378441458
2591552809.0,red,,,
2591552810.0,red,,,
2591552811.0,green,180.09201534551846,,
2591552813.0,red,,,
2591552814.0,red,,,
2591552815.0,red,,,
2591552816.0,red,,,
2591552817.0,red,,,
2591552818.0,red,,,
2591552819.0,red,,,
2591552820.0,red,,,
2591552822.0,red,,,
2591552824.0,red,,,
2591552825.0,red,,,
2591552826.0,red,,2097.491864948594,220.5727241882025
2591552827.0,red,,,
2591552828.0,red,,,
2591552829.0,red,,,
2591552830.0,green,200.6498966064599,,
2591552832.0,red,,,
2591552834.0,red,,,
2591552835.0,red,,,
2591552836.0,red,,,
2591552838.0,red,,,
2591552840.0,red,,,
2591552842.0,red,,,
2591552843.0,red,,,
2591552845.0,red,,,
2591552846.0,red,,,
2591552848.0,red,,,
2591552849.0,red,,,
2591552852.0,red,,,
2591552853.0,red,,,
2591552854.0,red,,,
2591552855.0,red,,,
2591552856.0,red,,,
2591552857.0,red,,,
2591552859.0,red,,3566.7517717826954,185.03394686633607
2591552860.0,red,,,
2591552861.0,red,,,
2591552862.0,red,,,
2591552863.0,red,,,
2591552864.0,red,,,
2591552866.0,red,,,
2591552868.0,red,,,
2591552872.0,red,,,
2591552873.0,red,,,
2591552875.0,red,,,
2591552876.0,red,,,
2591552877.0,red,,,
2591552879.0,red,,,
2591552880.0,red,,,
2591552882.0,red,,,
2591552883.0,red,,,
2591552884.0,red,,,
2591552885.0,red,,,
2591552886.0,red,,,
2591552887.0,red,,,
2591552888.0,red,,,
2591552891.0,red,,,
2591552892.0,red,,,
2591552893.0,red,,,
2591552894.0,red,,,
2591640559.0,red,,,
2591656057.0,red,,,
2591764825.0,red,,,
2591764826.0,red,,,
2597535782.0,red,,,
2597535783.0,red,,,
2597535784.0,red,,,
2597535785.0,red,,,
2597535786.0,red,,,
2597535787.0,red,,,
2597535789.0,red,,,
2597535790.0,red,,,
2597535791.0,red,,,
2597535792.0,red,,,
2597535793.0,red,,,
2597535794.0,red,,,
2597535795.0,red,,,
2597535797.0,red,,,
2597535798.0,red,,,
2597535799.0,red,,,
2597535800.0,red,,,
2597535801.0,red,,,
2597535803.0,red,,,
2597535805.0,red,,,
2597535806.0,red,,,
2597535807.0,red,,,
2597535808.0,red,,,
2597535809.0,red,,,
2597535810.0,red,,,
2597535811.0,red,,,
2597535812.0,red,,,
2597535813.0,red,,,
2597535815.0,red,,,
2597535816.0,red,,,
2597535818.0,red,,,
2597535819.0,red,,,
2597535820.0,red,,,
2597535821.0,red,,,
2597535822.0,red,,,
2597535823.0,red,,,
2597535824.0,red,,,
2597535825.0,red,,,
2597535826.0,red,,,
2597535827.0,red,,,
2597535828.0,red,,,
2597535829.0,red,,,
2597535830.0,red,,,
2597535831.0,red,,,
2597535832.0,red,,,
2597535833.0,red,,,
2597535834.0,red,,,
2597535835.0,red,,,
2597535838.0,red,,,
2597535839.0,red,,,
2597535841.0,red,,,
2597535843.0,red,,,
2597535845.0,red,,,
2597535846.0,red,,,
2597535847.0,red,,,
2597535848.0,red,,,
2597535849.0,red,,,
2597535850.0,red,,,
2597535851.0,red,,,
2597535852.0,red,,,
2597535853.0,red,,,
2597535854.0,red,,,
2597535856.0,red,,,
2597535859.0,red,,,
2597535860.0,red,,,
2597535861.0,red,,,
2597536738.0,green,178.52912806385862,,
2597725007.0,red,,,
2597725008.0,red,,,
2597725010.0,red,,,
2597725012.0,red,,,
2597725014.0,red,,,
2597725016.0,red,,,
2597725017.0,red,,,
2597725018.0,red,,,
2597725020.0,red,,,
2597725021.0,red,,,
2597725023.0,red,,,
2597725024.0,red,,,
2597725025.0,red,,,
2597725027.0,red,,,
2597725028.0,red,,,
2597725029.0,red,,,
2597725030.0,red,,,
2597725031.0,red,,,
2597725032.0,red,,,
2597725035.0,red,,,
2597725036.0,red,,,
2597725038.0,red,,,
2597725039.0,red,,,
2597725040.0,red,,,
2597725041.0,red,,,
2597725042.0,red,,,
2597725044.0,red,,,
2597725045.0,red,,,
2597725046.0,red,,,
2597725047.0,red,,,
2597725048.0,red,,,
2597725049.0,red,,,
2597725050.0,red,,,
